ID,Dirección,Estado,Budget URL,Error
SP-SLU-UEP-004582,"C. Perú 39, 3º - 1, Alcoy",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/de713da2-14f5-47b1-8cd8-3628bae2f9e7/docs/budget-attachment/c--per--39--3----1--alcoy.pdf,
SP-TDG-V9N-004404,"C. Mariano Huesa 6, 2º - 8, Nules",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/4ae3f848-2196-4f5c-bb45-975f43177d6b/docs/budget-attachment/c--mariano-huesa-6--2----8--nules.pdf,
SP-D6V-GUC-004503,"Calle Tirso de Molina, 3, 1º - 7, Almoradí ",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/6429549c-03f3-4cba-afd1-0e4c002a9b39/docs/budget-attachment/calle-tirso-de-molina--3--1----7--almorad-.pdf,
SP-TTP-97P-004299,"Calle Maestro Caballero 3, 4º- B Castellón",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/f35021b8-3b58-4b50-b3b5-af3f7b1225c8/docs/budget-attachment/calle-maestro-caballero-3--4---b-castell-n.pdf,
SP-DEI-WOE-005373,"C. Molina de Aragón 7, 3º-C, Molina de segura",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/e5978fc6-a8c6-4e44-bd80-55d2dec3e440/docs/budget-attachment/c--molina-de-arag-n-7--3--c--molina-de-segura.pdf,
SP-CIJ-FRP-004309,"C. Peña Ciclista Muñoz, Bajo J, Bloque 1, Vicar, Almería",✅ Sincronizado,https://api.portfolio.prod.prophero.com/assets/users/docs?key=users/3be2ad41-0eac-4b50-be6c-de0b9520b805/docs/budget-attachment/building---pe-a-ciclista-mu-oz--vicar--almer-a---2-.pdf,
